73042	820665	261129	417594	279525
547460	849157	327873	670347	872903
311253	120953	62562	918224	980851
284044	992594	475867	318908	364918
358624	72704	155931	478650	917400
421136	592700	676291	650977	647517
700331	123804	254865	427938	890763
38277	967446	853176	550221	222041
259825	14606	919400	316932	382048
174818	510564	315421	503341	263537
770523	835844	65685	767441	904888
7831	188578	218381	664680	957861
992954	664445	333242	281311	69845
781653	923133	768835	725093	328738
531884	597562	760453	502758	687241
447111	140972	584375	638497	997687
191658	746022	296	363025	107184
761896	466078	491942	4043	153934
789835	166531	314515	521248	238559
670406	375583	321753	113349	182359
298780	825223	939394	931113	149502
810120	404476	171508	182331	237256
266947	747293	225474	590855	488830
76482	5018	219131	29270	261916
618718	352585	921110	601111	942649
197995	435443	693919	900661	269410
930779	191152	110578	289971	682890
76600	497616	354201	75038	216084
147457	639022	441543	423374	462323
988985	267579	673002	569272	679418
813896	453811	246487	310919	508402
119100	10169	305763	158370	210082
390813	256429	111138	545609	49602
785432	440310	830538	555488	211217
890706	611182	753265	328537	212382
310405	222445	845409	867188	496781
135061	978506	579079	287227	427394
597058	975744	611858	850884	385310
416046	459967	665208	604035	972696
143256	820427	46409	799919	379744
676713	832603	67078	149439	905842
725823	187471	128244	452572	70527
806855	850384	469025	404178	74741
532945	309547	939739	514717	520042
446037	402508	896726	408072	996198
780303	834832	447587	311433	951274
191429	671544	71114	261278	56795
20636	193548	834537	532186	147687
400531	800861	803088	855662	626697
951945	986929	281035	362458	352237
85259	937045	728447	216177	118171
263025	323623	246867	406945	818369
416090	784851	643218	165088	175569
516345	594475	337046	104817	101707
840156	990451	878355	24132	240704
799643	467876	887894	517138	221068
322115	660847	546767	776121	428817
426333	832645	256335	717950	38806
613777	966128	657081	96861	802756
596523	786265	929185	27496	160599
808125	575479	922005	409082	341205
467633	594906	328514	16552	502420
624709	242468	660944	438849	952111
657261	364707	618910	546303	544399
836	23269	389183	129596	244514
402457	858815	116401	517094	727388
504973	750523	587255	634500	735213
660394	51409	175334	616913	191412
396310	404565	550999	177566	330183
978090	82726	365079	75297	852609
448383	791431	190276	713414	859320
74006	630249	529558	980233	305748
641137	123373	989763	40788	195515
357149	637737	563409	904821	320614
273419	269229	53095	966091	83680
366785	965367	115169	145269	388465
8552	815995	29689	485745	42184
517149	713769	573255	36736	224218
974826	188016	735649	714360	756024
410484	68724	298311	715563	647541
288527	394935	101424	517701	385070
371614	317224	451578	613225	30645
50996	981215	719215	808427	771229
299691	58563	242440	843214	498506
646629	102914	680958	208975	302967
596821	391315	60072	324016	476284
511422	474865	254864	463739	89712
523468	193111	912717	615123	730028
500261	134950	599633	475265	839388
667761	435812	891658	326000	266863
690314	372302	649054	931062	539277
973215	232003	394118	448331	135610
708044	87904	726656	421208	450534
839260	182528	879591	648163	265517
48141	49239	763592	614746	79352
269248	622923	855883	5591	616158
298827	54200	55056	209860	588189
436899	544686	675213	92101	653600
874333	812911	314552	765100	954119
326840	143342	945645	367700	119553
772969	126558	812228	677686	738877
380740	54580	487402	553825	625860
588112	620391	553967	525489	50950
172816	586824	806717	225245	55558
705409	788463	273143	704179	122675
452871	432286	323491	826381	141421
124714	243421	89450	59333	995855
78864	96341	419588	981427	106197
318879	863536	138711	597933	709074
793530	433469	19380	969630	748163
532559	16549	103357	649883	715074
717889	499739	696905	507036	931723
222680	795278	609470	741555	568604
64982	254547	592268	180770	332715
578032	514800	884244	940679	66131
46886	236116	9785	190107	305132
373119	302743	85754	636490	196016
820597	264007	592299	984825	171924
870311	293408	762677	159803	142506
142482	101631	961279	67822	235943
351076	957956	511975	942258	330612
176422	535460	208070	461671	433098
65663	484951	227295	482446	28185
54051	89227	989257	318146	116163
209065	236527	573876	115341	513401
993498	506361	972514	539911	28063
879565	684737	681479	29705	669797
646608	688368	844890	670424	633033
235708	984235	37107	507607	936911
212404	568652	189734	922004	987040
132574	325321	787443	401811	839760
612485	643720	761631	536300	526034
207112	385142	793696	31253	65997
624091	230763	846061	718514	235249
830044	533726	507083	737473	377760
840471	475661	346294	528498	352672
239291	247112	580323	331732	92449
457788	152532	542993	306892	995102
961570	25340	433411	165615	177195
899470	697093	888669	361467	556324
554511	55832	570416	862077	753600
889129	249059	730839	210683	454983
213387	136275	762164	683061	299235
320462	238365	888545	893635	597696
127664	937656	642257	144311	623785
135857	296523	834478	236560	61649
685307	248935	58633	431425	422970
99013	493590	284723	201050	321191
105442	214097	733382	461954	120317
674456	587881	607277	795834	704289
